Region,mean_hcho,total_fire,pm_fire,fire_hcho_r,ISRI,Rank
Punjab,220.11899908420963,51778,19024,0.6820787632552098,77.4,1
Jharkhand,226.96719462778321,83272,15180,0.17541510552808506,72.8,2
Chhattisgarh,219.08917316794995,36193,4681,0.38020518922243807,45.5,3
Delhi NCR,280.8408027097899,4921,990,0.40100503017368055,41.0,4
Odisha,224.0860672389398,23702,3742,0.37713797267338706,40.6,5
Uttar Pradesh,221.9313791347248,19970,3816,0.4160198100950728,39.9,6
West Bengal,239.83232728093287,2261,150,0.5424783294065691,34.9,7
Maharashtra,192.31247466359932,17072,1404,0.5951601007367211,34.6,8
Madhya Pradesh,173.60361234094552,12099,3509,0.6296919603910618,33.0,9
Assam,238.52539429407088,5217,57,0.42613451435273275,32.9,10
Bihar,232.1380538255903,1211,200,0.49810856352637706,32.2,11
Telangana,205.60227333357602,2308,259,0.6191043686563837,30.7,12
Uttarakhand,190.41157174280136,8880,209,0.6160080311478704,30.2,13
Haryana,226.7869986420194,2359,463,0.3376731547024939,28.1,14
Kerala,181.85454141744742,526,23,0.6951493977278986,27.3,15
Karnataka,173.2277888481317,4266,45,0.57158644338351,24.2,16
Mizoram,153.1138268035587,6582,5,0.6557933159949324,23.3,17
Manipur,154.68135183256305,7587,69,0.6217437172124893,23.2,18
Gujarat,190.19455796468156,3099,674,0.2548854692042483,20.1,19
Tamil Nadu,144.39031961802175,5103,164,0.49244281142806257,17.5,20
Meghalaya,145.77199836056573,7128,37,0.39216751095642854,16.0,21
Andhra Pradesh,188.30778258116703,3082,290,0.06514573525886505,14.7,22
Rajasthan,183.59845021544987,128,30,0.10207502172638777,13.4,23
Sikkim,114.7005712586757,516,4,0.2940869223093628,5.6,24
